City,Pincode,Neighborhood,Latitude,Longitude
Mumbai,400081,Mulund East,19.1649,72.9608
Mumbai,400081,Mhada Colony,19.1649,72.9608
Mumbai,400082,Mulund Colony,19.1247,72.9488
Mumbai,400082,Bhandup Complex,19.1247,72.9488
Mumbai,400083,Kannamwar Nagar,19.1247,72.9488
Mumbai,400083,Tagore Nagar,19.1247,72.9488
Mumbai,400084,Barve Nagar,19.1247,72.9488
Mumbai,400085,BARC,19.1247,72.9488
Mumbai,400086,Ghatkopar West,19.1247,72.9488
Mumbai,400086,Rifle Range,19.1247,72.9488
Mumbai,400086,Sahakar Bhavan,19.1247,72.9488
Mumbai,400087,Sandeepany Sadhanalya,19.1247,72.9488
Mumbai,400087,NITIE,19.1247,72.9488
Mumbai,400088,Trombay,19.0333,72.9333
Mumbai,400088,T.F.Donar,19.0333,72.9333
Mumbai,400088,Govandi,19.0333,72.9333
Mumbai,400089,Tilak Nagar (Mumbai),19.1247,72.9488
Mumbai,400089,Chembur Rs,19.1247,72.9488
Mumbai,400091,Borivali,19.235,72.8598
Mumbai,400092,Borivali West,19.2361,72.8338
Mumbai,400093,Chakala Midc,19.2355,72.8468
Mumbai,400094,Anushakti Nagar,19.2355,72.8468
Mumbai,400097,Rani Sati Marg,19.2355,72.8468
Mumbai,400098,Vidyanagari,19.2355,72.8468
Mumbai,400099,Sahar P & T Colony,19.2355,72.8468
Mumbai,400099,International Airport,19.2355,72.8468
Mumbai,400099,Sahargaon,19.2355,72.8468
Mumbai,400099,Airport (Mumbai),19.2355,72.8468
Mumbai,400101,Kandivali East,19.0499,73.259
Mumbai,400102,Jogeshwari West,19.0499,73.259
Mumbai,400102,Oshiwara,19.0499,73.259
Mumbai,400103,Mandapeshwar,19.0499,73.259
Mumbai,400104,Motilal Nagar,19.0499,73.259
Mumbai,400104,Goregaon (Mumbai),19.0499,73.259
